10	3263
100	177497
101	146324
102	157106
103	162544
104	147539
105	156907
106	139689
107	137532
108	135789
109	153300
11	7190
110	140325
111	158538
112	151096
113	141802
114	139099
115	137109
116	139532
117	137908
118	137070
119	131898
12	2061
120	151776
121	147601
122	150836
123	134502
124	147475
125	147787
126	136015
127	159992
128	147059
129	162509
13	3203
130	169696
131	165719
132	189185
133	184192
134	202242
135	243482
136	538165
137	373816
138	328376
139	346826
14	4116
140	1840929
141	709617
142	220262
143	47523
144	17204
145	1280
146	630
147	515
148	53
149	48
15	4872
150	22
151	28
152	8
153	6
154	21
155	10
156	14
157	10
158	8
159	10
16	6467
160	15
161	19
162	24
163	6
164	6
165	2
166	2
167	6
168	2
169	4
17	7399
170	7
171	4
172	3
173	5
174	3
175	2
176	3
177	6
178	2
179	5
18	8818
180	5
181	3
182	6
183	3
184	11
185	8
186	6
187	4
188	1
189	3
19	10670
190	2
192	1
193	9
194	24
195	4
196	7
197	2
198	3
199	3
20	30291
200	2
201	2
202	3
203	6
204	1
205	4
206	7
207	3
208	1
209	44
21	14522
210	1
211	1
212	1
213	1
214	2
215	3
216	1
217	2
22	16212
220	1
221	2
222	2
224	3
225	2
226	1
227	1
228	5
229	1
23	18915
231	1
232	2
235	1
237	1
24	25213
240	1
242	1
243	2
244	1
245	2
248	1
25	24764
250	9
251	1
252	2
253	1
254	1
256	3
26	28145
260	1
261	1
262	1
263	1
264	2
265	1
268	3
269	1
27	30762
271	1
272	1
278	2
28	33945
281	1
287	2
29	36845
291	1
293	1
294	1
30	38463
303	1
305	1
308	1
309	1
31	42391
32	48664
325	1
33	48914
332	1
336	1
34	55048
344	1
349	1
35	54549
359	1
36	61057
37	67183
376	1
38	64615
39	64371
4	1
40	67757
41	71834
42	73371
426	1
43	74896
44	78717
45	80369
46	82193
47	86439
48	89963
483	1
49	91028
50	95337
51	97259
52	105368
53	130447
54	107594
543	1
547	1
55	106645
550	1
551	1
56	108674
57	119258
58	113394
59	117142
60	120344
61	119538
62	125297
63	125766
64	124467
65	127694
66	136435
67	128879
68	134941
69	139029
7	938
70	135227
71	135301
72	139376
73	144021
74	144107
75	139711
76	173563
77	143326
78	144767
79	157629
8	694
80	152856
81	149882
82	144417
83	139591
84	158433
85	147091
86	140497
87	143046
88	150478
89	141753
9	180
90	145901
91	149605
92	139729
93	143025
94	146571
95	150826
96	148090
97	158436
98	158378
99	156953
